"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 27 14:58:57 EDT 2025","Wed Aug 27 14:58:59 EDT 2025","1413","Default Suite","CatalyteTests","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","testWorkWithUsButtonDisplayedAndFunctionsLenient","testWorkWithUsButtonDisplayedAndFunctionsLenient",""
"passed","Wed Aug 27 14:58:56 EDT 2025","Wed Aug 27 14:58:56 EDT 2025","244","Default Suite","CatalyteTests","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","testImagesExistLenient","testImagesExistLenient",""
"passed","Wed Aug 27 14:58:57 EDT 2025","Wed Aug 27 14:58:57 EDT 2025","326","Default Suite","CatalyteTests","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","testVideosExistLenient","testVideosExistLenient",""
"passed","Wed Aug 27 14:58:56 EDT 2025","Wed Aug 27 14:58:56 EDT 2025","347","Default Suite","CatalyteTests","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","testAccordionsExistLenient","testAccordionsExistLenient",""
"passed","Wed Aug 27 14:58:56 EDT 2025","Wed Aug 27 14:58:57 EDT 2025","375","Default Suite","CatalyteTests","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","testMenuTextItemsLenient","testMenuTextItemsLenient",""
